HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00259    PSNR_LR 24.114   PSNR_HR 20.492 
Iteration 00260    PSNR_LR 24.237   PSNR_HR 20.581 
Iteration 00261    PSNR_LR 24.393   PSNR_HR 20.680 
Iteration 00262    PSNR_LR 24.277   PSNR_HR 20.689 
Iteration 00263    PSNR_LR 24.407   PSNR_HR 20.786 
Iteration 00264    PSNR_LR 24.241   PSNR_HR 20.699 
Iteration 00265    PSNR_LR 24.403   PSNR_HR 20.773 
Iteration 00266    PSNR_LR 24.523   PSNR_HR 20.869 
Iteration 00267    PSNR_LR 24.367   PSNR_HR 20.834 
Iteration 00268    PSNR_LR 24.279   PSNR_HR 20.686 
Iteration 00269    PSNR_LR 24.286   PSNR_HR 20.688 
Iteration 00270    PSNR_LR 24.287   PSNR_HR 20.599 
Iteration 00271    PSNR_LR 24.583   PSNR_HR 20.765 
Iteration 00272    PSNR_LR 24.504   PSNR_HR 20.854 
Iteration 00273    PSNR_LR 24.568   PSNR_HR 20.789 
Iteration 00274    PSNR_LR 24.692   PSNR_HR 20.907 
Iteration 00275    PSNR_LR 24.567   PSNR_HR 20.839 
Iteration 00276    PSNR_LR 24.522   PSNR_HR 20.826 
Iteration 00277    PSNR_LR 24.746   PSNR_HR 20.951 
Iteration 00278    PSNR_LR 24.752   PSNR_HR 20.928 
Iteration 00279    PSNR_LR 24.708   PSNR_HR 20.902 
Iteration 00280    PSNR_LR 24.756   PSNR_HR 20.947 
Iteration 00281    PSNR_LR 24.661   PSNR_HR 20.968 
Iteration 00282    PSNR_LR 24.736   PSNR_HR 20.947 
Iteration 00283    PSNR_LR 24.752   PSNR_HR 20.937 
Iteration 00284    PSNR_LR 24.580   PSNR_HR 20.848 
Iteration 00285    PSNR_LR 24.837   PSNR_HR 20.950 
Iteration 00286    PSNR_LR 24.904   PSNR_HR 21.032 
Iteration 00287    PSNR_LR 24.955   PSNR_HR 21.086 
Iteration 00288    PSNR_LR 24.922   PSNR_HR 21.046 
Iteration 00289    PSNR_LR 24.983   PSNR_HR 21.122 
Iteration 00290    PSNR_LR 25.013   PSNR_HR 21.153 
Iteration 00291    PSNR_LR 25.035   PSNR_HR 21.080 
Iteration 00292    PSNR_LR 24.963   PSNR_HR 21.064 
Iteration 00293    PSNR_LR 24.910   PSNR_HR 21.051 
Iteration 00294    PSNR_LR 24.980   PSNR_HR 21.105 
Iteration 00295    PSNR_LR 24.695   PSNR_HR 20.960 
Iteration 00296    PSNR_LR 24.335   PSNR_HR 20.829 
Iteration 00297    PSNR_LR 24.911   PSNR_HR 20.928 
Iteration 00298    PSNR_LR 24.750   PSNR_HR 20.865 
Iteration 00299    PSNR_LR 24.693   PSNR_HR 20.848 
Iteration 00300    PSNR_LR 24.848   PSNR_HR 20.991 
Iteration 00301    PSNR_LR 24.849   PSNR_HR 21.021 
Iteration 00302    PSNR_LR 24.698   PSNR_HR 20.997 
Iteration 00303    PSNR_LR 25.117   PSNR_HR 21.172 
Iteration 00304    PSNR_LR 24.870   PSNR_HR 20.981 
Iteration 00305    PSNR_LR 24.941   PSNR_HR 21.109 
Iteration 00306    PSNR_LR 24.964   PSNR_HR 21.131 
Iteration 00307    PSNR_LR 25.111   PSNR_HR 21.177 
Iteration 00308    PSNR_LR 24.911   PSNR_HR 21.030 
Iteration 00309    PSNR_LR 24.754   PSNR_HR 21.059 
Iteration 00310    PSNR_LR 25.056   PSNR_HR 21.202 
Iteration 00311    PSNR_LR 25.147   PSNR_HR 21.196 
Iteration 00312    PSNR_LR 25.120   PSNR_HR 21.233 
Iteration 00313    PSNR_LR 25.168   PSNR_HR 21.229 
Iteration 00314    PSNR_LR 25.136   PSNR_HR 21.167 
Iteration 00315    PSNR_LR 25.274   PSNR_HR 21.194 
Iteration 00316    PSNR_LR 25.218   PSNR_HR 21.141 
Iteration 00317    PSNR_LR 25.321   PSNR_HR 21.238 
Iteration 00318    PSNR_LR 25.226   PSNR_HR 21.249 
Iteration 00319    PSNR_LR 25.477   PSNR_HR 21.391 
Iteration 00320    PSNR_LR 25.409   PSNR_HR 21.319 
Iteration 00321    PSNR_LR 25.361   PSNR_HR 21.280 
Iteration 00322    PSNR_LR 25.477   PSNR_HR 21.391 
Iteration 00323    PSNR_LR 25.528   PSNR_HR 21.429 
Iteration 00324    PSNR_LR 25.408   PSNR_HR 21.324 
Iteration 00325    PSNR_LR 25.557   PSNR_HR 21.408 
Iteration 00326    PSNR_LR 25.561   PSNR_HR 21.378 
Iteration 00327    PSNR_LR 25.538   PSNR_HR 21.349 
Iteration 00328    PSNR_LR 25.483   PSNR_HR 21.340 
Iteration 00329    PSNR_LR 25.490   PSNR_HR 21.383 
Iteration 00330    PSNR_LR 25.622   PSNR_HR 21.450 
Iteration 00331    PSNR_LR 25.530   PSNR_HR 21.408 
Iteration 00332    PSNR_LR 25.453   PSNR_HR 21.338 
Iteration 00333    PSNR_LR 25.509   PSNR_HR 21.375 
Iteration 00334    PSNR_LR 25.774   PSNR_HR 21.525 
Iteration 00335    PSNR_LR 25.677   PSNR_HR 21.511 
Iteration 00336    PSNR_LR 25.596   PSNR_HR 21.447 
Iteration 00337    PSNR_LR 25.514   PSNR_HR 21.381 
Iteration 00338    PSNR_LR 25.747   PSNR_HR 21.550 
Iteration 00339    PSNR_LR 25.838   PSNR_HR 21.576 
Iteration 00340    PSNR_LR 25.755   PSNR_HR 21.577 
Iteration 00341    PSNR_LR 25.809   PSNR_HR 21.571 
Iteration 00342    PSNR_LR 25.791   PSNR_HR 21.487 
Iteration 00343    PSNR_LR 25.690   PSNR_HR 21.486 
Iteration 00344    PSNR_LR 25.913   PSNR_HR 21.592 
Iteration 00345    PSNR_LR 25.763   PSNR_HR 21.523 
Iteration 00346    PSNR_LR 25.953   PSNR_HR 21.554 
Iteration 00347    PSNR_LR 25.925   PSNR_HR 21.437 
Iteration 00348    PSNR_LR 25.899   PSNR_HR 21.466 
Iteration 00349    PSNR_LR 25.821   PSNR_HR 21.537 
Iteration 00350    PSNR_LR 26.029   PSNR_HR 21.632 
Iteration 00351    PSNR_LR 26.004   PSNR_HR 21.575 
Iteration 00352    PSNR_LR 26.037   PSNR_HR 21.596 
Iteration 00353    PSNR_LR 25.980   PSNR_HR 21.589 
Iteration 00354    PSNR_LR 25.987   PSNR_HR 21.600 
Iteration 00355    PSNR_LR 25.962   PSNR_HR 21.503 
Iteration 00356    PSNR_LR 25.917   PSNR_HR 21.593 
Iteration 00357    PSNR_LR 25.675   PSNR_HR 21.339 
Iteration 00358    PSNR_LR 25.836   PSNR_HR 21.536 
Iteration 00359    PSNR_LR 25.922   PSNR_HR 21.510 
Iteration 00360    PSNR_LR 25.962   PSNR_HR 21.600 
Iteration 00361    PSNR_LR 26.122   PSNR_HR 21.666 
Iteration 00362    PSNR_LR 26.142   PSNR_HR 21.709 
Iteration 00363    PSNR_LR 26.010   PSNR_HR 21.641 
Iteration 00364    PSNR_LR 26.010   PSNR_HR 21.595 
Iteration 00365    PSNR_LR 26.166   PSNR_HR 21.716 
Iteration 00366    PSNR_LR 26.205   PSNR_HR 21.772 
Iteration 00367    PSNR_LR 26.259   PSNR_HR 21.737 
Iteration 00368    PSNR_LR 26.120   PSNR_HR 21.658 
Iteration 00369    PSNR_LR 26.196   PSNR_HR 21.717 
Iteration 00370    PSNR_LR 26.171   PSNR_HR 21.757 
Iteration 00371    PSNR_LR 26.189   PSNR_HR 21.663 
Iteration 00372    PSNR_LR 25.821   PSNR_HR 21.374 
Iteration 00373    PSNR_LR 25.342   PSNR_HR 21.361 
Iteration 00374    PSNR_LR 25.137   PSNR_HR 21.086 
Iteration 00375    PSNR_LR 24.151   PSNR_HR 20.674 
Iteration 00376    PSNR_LR 24.234   PSNR_HR 20.551 
Iteration 00377    PSNR_LR 25.688   PSNR_HR 21.307 
Iteration 00378    PSNR_LR 24.626   PSNR_HR 20.662 
Iteration 00379    PSNR_LR 25.616   PSNR_HR 21.207 
Iteration 00380    PSNR_LR 25.094   PSNR_HR 20.981 
Iteration 00381    PSNR_LR 25.714   PSNR_HR 21.367 
Iteration 00382    PSNR_LR 25.548   PSNR_HR 21.463 
Iteration 00383    PSNR_LR 26.162   PSNR_HR 21.763 
Iteration 00384    PSNR_LR 25.565   PSNR_HR 21.433 
Iteration 00385    PSNR_LR 26.169   PSNR_HR 21.626 
Iteration 00386    PSNR_LR 25.950   PSNR_HR 21.497 
Iteration 00387    PSNR_LR 26.099   PSNR_HR 21.706 
