PSNR bicubic: 11.8722   PSNR nearest: 11.8722
Starting optimization with ADAM
Iteration 00392    PSNR_LR 8.751   PSNR_HR 8.159 
Iteration 00393    PSNR_LR 8.759   PSNR_HR 8.169 
Iteration 00394    PSNR_LR 8.745   PSNR_HR 8.163 
Iteration 00395    PSNR_LR 8.747   PSNR_HR 8.137 
Iteration 00396    PSNR_LR 8.744   PSNR_HR 8.138 
Iteration 00397    PSNR_LR 8.776   PSNR_HR 8.174 
Iteration 00398    PSNR_LR 8.766   PSNR_HR 8.190 
Iteration 00399    PSNR_LR 8.770   PSNR_HR 8.169 
Iteration 00400    PSNR_LR 8.765   PSNR_HR 8.165 
Iteration 00401    PSNR_LR 8.764   PSNR_HR 8.168 
Iteration 00402    PSNR_LR 8.771   PSNR_HR 8.194 
Iteration 00403    PSNR_LR 8.753   PSNR_HR 8.180 
Iteration 00404    PSNR_LR 8.778   PSNR_HR 8.195 
Iteration 00405    PSNR_LR 8.780   PSNR_HR 8.172 
Iteration 00406    PSNR_LR 8.807   PSNR_HR 8.189 
Iteration 00407    PSNR_LR 8.791   PSNR_HR 8.210 
Iteration 00408    PSNR_LR 8.790   PSNR_HR 8.192 
Iteration 00409    PSNR_LR 8.779   PSNR_HR 8.201 
Iteration 00410    PSNR_LR 8.804   PSNR_HR 8.228 
Iteration 00411    PSNR_LR 8.796   PSNR_HR 8.188 
Iteration 00412    PSNR_LR 8.801   PSNR_HR 8.223 
Iteration 00413    PSNR_LR 8.813   PSNR_HR 8.211 
Iteration 00414    PSNR_LR 8.787   PSNR_HR 8.210 
Iteration 00415    PSNR_LR 8.805   PSNR_HR 8.228 
Iteration 00416    PSNR_LR 8.814   PSNR_HR 8.214 
Iteration 00417    PSNR_LR 8.784   PSNR_HR 8.200 
Iteration 00418    PSNR_LR 8.825   PSNR_HR 8.234 
