HR and LR resolutions: (576, 384), (144, 96)
PSNR bicubic: 23.1048   PSNR nearest: 20.8212
Starting optimization with ADAM
Iteration 00285    PSNR_LR 24.383   PSNR_HR 20.690 
Iteration 00286    PSNR_LR 24.374   PSNR_HR 20.613 
Iteration 00287    PSNR_LR 24.394   PSNR_HR 20.612 
Iteration 00288    PSNR_LR 24.311   PSNR_HR 20.573 
Iteration 00289    PSNR_LR 24.174   PSNR_HR 20.720 
Iteration 00290    PSNR_LR 23.642   PSNR_HR 20.158 
Iteration 00291    PSNR_LR 23.959   PSNR_HR 20.489 
Iteration 00292    PSNR_LR 24.108   PSNR_HR 20.469 
Iteration 00293    PSNR_LR 24.386   PSNR_HR 20.402 
Iteration 00294    PSNR_LR 24.060   PSNR_HR 20.145 
Iteration 00295    PSNR_LR 24.553   PSNR_HR 20.557 
Iteration 00296    PSNR_LR 23.911   PSNR_HR 20.464 
Iteration 00297    PSNR_LR 24.259   PSNR_HR 20.343 
Iteration 00298    PSNR_LR 23.903   PSNR_HR 20.258 
Iteration 00299    PSNR_LR 24.310   PSNR_HR 20.479 
Iteration 00300    PSNR_LR 24.377   PSNR_HR 20.673 
Iteration 00301    PSNR_LR 24.390   PSNR_HR 20.675 
Iteration 00302    PSNR_LR 24.285   PSNR_HR 20.526 
Iteration 00303    PSNR_LR 24.213   PSNR_HR 20.528 
Iteration 00304    PSNR_LR 24.520   PSNR_HR 20.844 
Iteration 00305    PSNR_LR 24.433   PSNR_HR 20.844 
Iteration 00306    PSNR_LR 24.400   PSNR_HR 20.716 
Iteration 00307    PSNR_LR 24.388   PSNR_HR 20.563 
Iteration 00308    PSNR_LR 24.772   PSNR_HR 20.763 
Iteration 00309    PSNR_LR 24.653   PSNR_HR 20.797 
Iteration 00310    PSNR_LR 24.496   PSNR_HR 20.341 
Iteration 00311    PSNR_LR 23.946   PSNR_HR 20.570 
Iteration 00312    PSNR_LR 23.653   PSNR_HR 19.865 
Iteration 00313    PSNR_LR 24.268   PSNR_HR 20.252 
Iteration 00314    PSNR_LR 24.205   PSNR_HR 20.390 
Iteration 00315    PSNR_LR 24.416   PSNR_HR 20.499 
Iteration 00316    PSNR_LR 24.691   PSNR_HR 20.652 
Iteration 00317    PSNR_LR 24.449   PSNR_HR 20.496 
Iteration 00318    PSNR_LR 24.542   PSNR_HR 20.529 
Iteration 00319    PSNR_LR 24.729   PSNR_HR 20.644 
Iteration 00320    PSNR_LR 24.575   PSNR_HR 20.515 
Iteration 00321    PSNR_LR 24.725   PSNR_HR 20.749 
Iteration 00322    PSNR_LR 24.550   PSNR_HR 20.506 
Iteration 00323    PSNR_LR 24.733   PSNR_HR 20.857 
Iteration 00324    PSNR_LR 24.695   PSNR_HR 20.833 
Iteration 00325    PSNR_LR 24.912   PSNR_HR 21.039 
Iteration 00326    PSNR_LR 24.904   PSNR_HR 20.979 
Iteration 00327    PSNR_LR 25.025   PSNR_HR 20.991 
Iteration 00328    PSNR_LR 24.981   PSNR_HR 20.983 
Iteration 00329    PSNR_LR 24.968   PSNR_HR 20.973 
Iteration 00330    PSNR_LR 25.178   PSNR_HR 21.144 
Iteration 00331    PSNR_LR 25.017   PSNR_HR 20.993 
Iteration 00332    PSNR_LR 25.215   PSNR_HR 21.167 
Iteration 00333    PSNR_LR 25.166   PSNR_HR 21.178 
Iteration 00334    PSNR_LR 25.246   PSNR_HR 21.175 
Iteration 00335    PSNR_LR 25.302   PSNR_HR 21.189 
Iteration 00336    PSNR_LR 25.391   PSNR_HR 21.256 
Iteration 00337    PSNR_LR 25.459   PSNR_HR 21.295 
Iteration 00338    PSNR_LR 25.178   PSNR_HR 21.221 
Iteration 00339    PSNR_LR 24.941   PSNR_HR 20.707 
Iteration 00340    PSNR_LR 25.112   PSNR_HR 21.101 
Iteration 00341    PSNR_LR 25.245   PSNR_HR 21.195 
Iteration 00342    PSNR_LR 24.708   PSNR_HR 20.860 
Iteration 00343    PSNR_LR 25.186   PSNR_HR 21.148 
Iteration 00344    PSNR_LR 25.139   PSNR_HR 21.112 
Iteration 00345    PSNR_LR 25.392   PSNR_HR 21.085 
Iteration 00346    PSNR_LR 25.080   PSNR_HR 20.954 
Iteration 00347    PSNR_LR 25.319   PSNR_HR 21.093 
Iteration 00348    PSNR_LR 25.425   PSNR_HR 21.077 
Iteration 00349    PSNR_LR 25.388   PSNR_HR 20.968 
Iteration 00350    PSNR_LR 25.589   PSNR_HR 21.111 
Iteration 00351    PSNR_LR 25.384   PSNR_HR 21.161 
Iteration 00352    PSNR_LR 25.591   PSNR_HR 21.156 
Iteration 00353    PSNR_LR 25.437   PSNR_HR 21.060 
Iteration 00354    PSNR_LR 25.559   PSNR_HR 21.184 
Iteration 00355    PSNR_LR 25.624   PSNR_HR 21.184 
Iteration 00356    PSNR_LR 25.526   PSNR_HR 21.075 
Iteration 00357    PSNR_LR 25.592   PSNR_HR 21.229 
Iteration 00358    PSNR_LR 25.592   PSNR_HR 21.272 
Iteration 00359    PSNR_LR 25.658   PSNR_HR 21.241 
Iteration 00360    PSNR_LR 25.691   PSNR_HR 21.253 
Iteration 00361    PSNR_LR 25.669   PSNR_HR 21.328 
Iteration 00362    PSNR_LR 25.760   PSNR_HR 21.325 
Iteration 00363    PSNR_LR 25.761   PSNR_HR 21.271 
Iteration 00364    PSNR_LR 25.788   PSNR_HR 21.366 
Iteration 00365    PSNR_LR 25.918   PSNR_HR 21.426 
Iteration 00366    PSNR_LR 25.892   PSNR_HR 21.355 
Iteration 00367    PSNR_LR 25.751   PSNR_HR 21.323 
Iteration 00368    PSNR_LR 25.906   PSNR_HR 21.411 
Iteration 00369    PSNR_LR 25.837   PSNR_HR 21.230 
Iteration 00370    PSNR_LR 25.941   PSNR_HR 21.404 
Iteration 00371    PSNR_LR 26.086   PSNR_HR 21.491 
Iteration 00372    PSNR_LR 25.970   PSNR_HR 21.437 
Iteration 00373    PSNR_LR 25.996   PSNR_HR 21.373 
Iteration 00374    PSNR_LR 25.789   PSNR_HR 21.384 
Iteration 00375    PSNR_LR 25.782   PSNR_HR 21.370 
Iteration 00376    PSNR_LR 25.950   PSNR_HR 21.476 
