Number of params: 2217831
Starting optimization with ADAM
Iteration 00189    Loss 0.014307   PSNR_noisy: 18.444403   PSRN_gt: 22.796328 PSNR_gt_sm: 20.813711 
Iteration 00190    Loss 0.014479   PSNR_noisy: 18.392719   PSRN_gt: 22.658624 PSNR_gt_sm: 20.849276 
Iteration 00191    Loss 0.014253   PSNR_noisy: 18.460932   PSRN_gt: 22.839326 PSNR_gt_sm: 20.885221 
Iteration 00192    Loss 0.014415   PSNR_noisy: 18.411893   PSRN_gt: 22.695072 PSNR_gt_sm: 20.920822 
Iteration 00193    Loss 0.014363   PSNR_noisy: 18.427611   PSRN_gt: 22.743669 PSNR_gt_sm: 20.957350 
Iteration 00194    Loss 0.014274   PSNR_noisy: 18.454420   PSRN_gt: 22.827495 PSNR_gt_sm: 20.994038 
Iteration 00195    Loss 0.014398   PSNR_noisy: 18.416940   PSRN_gt: 22.719598 PSNR_gt_sm: 21.029820 
Iteration 00196    Loss 0.014338   PSNR_noisy: 18.435085   PSRN_gt: 22.761522 PSNR_gt_sm: 21.065002 
Iteration 00197    Loss 0.014208   PSNR_noisy: 18.474580   PSRN_gt: 22.880133 PSNR_gt_sm: 21.100631 
Iteration 00198    Loss 0.014260   PSNR_noisy: 18.458739   PSRN_gt: 22.842797 PSNR_gt_sm: 21.136773 
Iteration 00199    Loss 0.014403   PSNR_noisy: 18.415563   PSRN_gt: 22.717644 PSNR_gt_sm: 21.173455 
Iteration 00200    Loss 0.014103   PSNR_noisy: 18.506835   PSRN_gt: 22.965839 PSNR_gt_sm: 21.210333 
Iteration 00201    Loss 0.014090   PSNR_noisy: 18.510853   PSRN_gt: 22.970566 PSNR_gt_sm: 21.244659 
Iteration 00202    Loss 0.014177   PSNR_noisy: 18.484274   PSRN_gt: 22.902123 PSNR_gt_sm: 21.277879 
Iteration 00203    Loss 0.014160   PSNR_noisy: 18.489260   PSRN_gt: 22.907508 PSNR_gt_sm: 21.311102 
Iteration 00204    Loss 0.014120   PSNR_noisy: 18.501520   PSRN_gt: 22.943573 PSNR_gt_sm: 21.344788 
Iteration 00205    Loss 0.014076   PSNR_noisy: 18.515061   PSRN_gt: 22.984285 PSNR_gt_sm: 21.378328 
Iteration 00206    Loss 0.014038   PSNR_noisy: 18.527049   PSRN_gt: 23.022253 PSNR_gt_sm: 21.412042 
Iteration 00207    Loss 0.013986   PSNR_noisy: 18.542998   PSRN_gt: 23.067687 PSNR_gt_sm: 21.445176 
Iteration 00208    Loss 0.014023   PSNR_noisy: 18.531648   PSRN_gt: 23.038229 PSNR_gt_sm: 21.478163 
Iteration 00209    Loss 0.013961   PSNR_noisy: 18.550850   PSRN_gt: 23.082556 PSNR_gt_sm: 21.511312 
Iteration 00210    Loss 0.014146   PSNR_noisy: 18.493716   PSRN_gt: 22.919582 PSNR_gt_sm: 21.544363 
Iteration 00211    Loss 0.014029   PSNR_noisy: 18.529861   PSRN_gt: 23.022157 PSNR_gt_sm: 21.576090 
Iteration 00212    Loss 0.013991   PSNR_noisy: 18.541457   PSRN_gt: 23.060456 PSNR_gt_sm: 21.607444 
Iteration 00213    Loss 0.014098   PSNR_noisy: 18.508328   PSRN_gt: 22.972375 PSNR_gt_sm: 21.638535 
Iteration 00214    Loss 0.013815   PSNR_noisy: 18.596460   PSRN_gt: 23.220808 PSNR_gt_sm: 21.671491 
Iteration 00215    Loss 0.013962   PSNR_noisy: 18.550610   PSRN_gt: 23.084934 PSNR_gt_sm: 21.705866 
Iteration 00216    Loss 0.013897   PSNR_noisy: 18.570862   PSRN_gt: 23.165624 PSNR_gt_sm: 21.740617 
